utt_id,label,speaker,attack,AASIST_score,error_type,confidence,AASIST-L_score,AASIST3_score,LFCC+LCNN_score,XLS-R+Nes2Net_score,XLS-R+AASIST_score,failed_model_count,model
LA_E_8038559,0,LA_0009,A10,0.9999997615814209,false_positive,0.9999997615814209,,,,,,,
LA_E_4012644,0,LA_0034,A07,0.9999996423721313,false_positive,0.9999996423721313,,,,,,,
LA_E_2741245,0,LA_0045,A10,0.9999995231628418,false_positive,0.9999995231628418,,,,,,,
LA_E_9463384,0,LA_0035,A10,0.9999995231628418,false_positive,0.9999995231628418,,,,,,,
LA_E_7268887,0,LA_0004,A10,0.9999994039535522,false_positive,0.9999994039535522,,,,,,,
LA_E_9057317,0,LA_0047,A10,0.9999992847442627,false_positive,0.9999992847442627,,,,,,,
LA_E_1364739,0,LA_0013,A16,0.9999991655349731,false_positive,0.9999991655349731,,,,,,,
LA_E_1813597,0,LA_0019,A10,0.9999991655349731,false_positive,0.9999991655349731,,,,,,,
LA_E_6006205,0,LA_0034,A10,0.9999991655349731,false_positive,0.9999991655349731,,,,,,,
LA_E_9178286,0,LA_0048,A16,0.9999990463256836,false_positive,0.9999990463256836,,,,,,,
LA_E_9199121,0,LA_0033,A10,0.9999990463256836,false_positive,0.9999990463256836,,,,,,,
LA_E_2571881,0,LA_0017,A12,0.9999988079071045,false_positive,0.9999988079071045,,,,,,,
LA_E_6594461,0,LA_0029,A10,0.9999988079071045,false_positive,0.9999988079071045,,,,,,,
LA_E_6962976,0,LA_0014,A10,0.9999988079071045,false_positive,0.9999988079071045,,,,,,,
LA_E_9506616,0,LA_0016,A10,0.9999988079071045,false_positive,0.9999988079071045,,,,,,,
LA_E_1496995,0,LA_0045,A10,0.9999986886978149,false_positive,0.9999986886978149,,,,,,,
LA_E_4939275,0,LA_0023,A10,0.9999986886978149,false_positive,0.9999986886978149,,,,,,,
LA_E_6847053,0,LA_0046,A10,0.9999986886978149,false_positive,0.9999986886978149,,,,,,,
LA_E_8500339,0,LA_0045,A10,0.9999986886978149,false_positive,0.9999986886978149,,,,,,,
LA_E_1964706,0,LA_0016,A10,0.9999985694885254,false_positive,0.9999985694885254,,,,,,,
LA_E_8840914,0,LA_0031,A10,0.9999985694885254,false_positive,0.9999985694885254,,,,,,,
LA_E_9899808,0,LA_0042,A10,0.9999985694885254,false_positive,0.9999985694885254,,,,,,,
LA_E_2609721,0,LA_0045,A12,0.9999984502792358,false_positive,0.9999984502792358,,,,,,,
LA_E_3492021,0,LA_0024,A10,0.9999984502792358,false_positive,0.9999984502792358,,,,,,,
LA_E_4788229,0,LA_0045,A10,0.9999984502792358,false_positive,0.9999984502792358,,,,,,,
LA_E_1450790,1,LA_0057,bonafide,4.0455917769577354e-05,false_negative,0.9999595440822304,,,,,,,
LA_E_3017534,1,LA_0008,bonafide,4.563007678370923e-05,false_negative,0.9999543699232163,,,,,,,
LA_E_1045547,1,LA_0042,bonafide,0.015316721051931381,false_negative,0.9846832789480686,,,,,,,
LA_E_3261040,1,LA_0001,bonafide,0.02148480713367462,false_negative,0.9785151928663254,,,,,,,
LA_E_2947648,1,LA_0057,bonafide,0.022377802059054375,false_negative,0.9776221979409456,,,,,,,
LA_E_3687947,1,LA_0038,bonafide,0.15262708067893982,false_negative,0.8473729193210602,,,,,,,
LA_E_1486483,1,LA_0057,bonafide,0.15848404169082642,false_negative,0.8415159583091736,,,,,,,
LA_E_4083301,1,LA_0057,bonafide,0.1732569932937622,false_negative,0.8267430067062378,,,,,,,
LA_E_6807906,1,LA_0050,bonafide,0.3840179741382599,false_negative,0.6159820258617401,,,,,,,
LA_E_7138609,1,LA_0053,bonafide,0.42372286319732666,false_negative,0.5762771368026733,,,,,,,
LA_E_6425190,1,LA_0057,bonafide,0.42915359139442444,false_negative,0.5708464086055756,,,,,,,
LA_E_6059132,1,LA_0039,bonafide,0.5592021942138672,false_negative,0.4407978057861328,,,,,,,
LA_E_2801235,1,LA_0050,bonafide,0.5827710628509521,false_negative,0.41722893714904785,,,,,,,
LA_E_3273664,1,LA_0057,bonafide,0.6933000087738037,false_negative,0.3066999912261963,,,,,,,
LA_E_5731886,1,LA_0057,bonafide,0.6967562437057495,false_negative,0.3032437562942505,,,,,,,
LA_E_2448623,1,LA_0057,bonafide,0.7150138020515442,false_negative,0.2849861979484558,,,,,,,
LA_E_4903415,1,LA_0050,bonafide,0.8203070163726807,false_negative,0.17969298362731934,,,,,,,
LA_E_1264937,1,LA_0040,bonafide,0.8408539891242981,false_negative,0.1591460108757019,,,,,,,
LA_E_2917457,1,LA_0063,bonafide,0.8477314710617065,false_negative,0.15226852893829346,,,,,,,
LA_E_7758062,1,LA_0030,bonafide,0.8588634729385376,false_negative,0.1411365270614624,,,,,,,
LA_E_1955851,1,LA_0068,bonafide,0.8608490228652954,false_negative,0.1391509771347046,,,,,,,
LA_E_4497280,1,LA_0032,bonafide,0.9181088209152222,false_negative,0.08189117908477783,,,,,,,
LA_E_7858055,1,LA_0040,bonafide,0.9377955198287964,false_negative,0.06220448017120361,,,,,,,
LA_E_7530494,1,LA_0029,bonafide,0.937838613986969,false_negative,0.062161386013031006,,,,,,,
LA_E_2537412,1,LA_0030,bonafide,0.9433133006095886,false_negative,0.05668669939041138,,,,,,,
LA_E_1340256,0,LA_0048,A10,,false_positive,0.999997615814209,0.999997615814209,,,,,,
