utt_id,label,AASIST_score,error_type,confidence,LFCC+LCNN_score,AASIST3_score,AASIST-L_score,XLS-R+Nes2Net_score,failed_model_count,model
asvspoof21_0028059,0,0.9999998807907104,false_positive,0.9999998807907104,,,,,,
asvspoof21_0065566,0,0.9999998807907104,false_positive,0.9999998807907104,,,,,,
asvspoof21_0101819,0,0.9999998807907104,false_positive,0.9999998807907104,,,,,,
asvspoof21_0122133,0,0.9999998807907104,false_positive,0.9999998807907104,,,,,,
asvspoof21_0137213,0,0.9999998807907104,false_positive,0.9999998807907104,,,,,,
asvspoof21_0155956,0,0.9999998807907104,false_positive,0.9999998807907104,,,,,,
asvspoof21_0199505,0,0.9999998807907104,false_positive,0.9999998807907104,,,,,,
asvspoof21_0250924,0,0.9999998807907104,false_positive,0.9999998807907104,,,,,,
asvspoof21_0292414,0,0.9999998807907104,false_positive,0.9999998807907104,,,,,,
asvspoof21_0355579,0,0.9999998807907104,false_positive,0.9999998807907104,,,,,,
asvspoof21_0370460,0,0.9999998807907104,false_positive,0.9999998807907104,,,,,,
asvspoof21_0388950,0,0.9999998807907104,false_positive,0.9999998807907104,,,,,,
asvspoof21_0429048,0,0.9999998807907104,false_positive,0.9999998807907104,,,,,,
asvspoof21_0438619,0,0.9999998807907104,false_positive,0.9999998807907104,,,,,,
asvspoof21_0451553,0,0.9999998807907104,false_positive,0.9999998807907104,,,,,,
asvspoof21_0015842,0,0.9999997615814209,false_positive,0.9999997615814209,,,,,,
asvspoof21_0036474,0,0.9999997615814209,false_positive,0.9999997615814209,,,,,,
asvspoof21_0038576,0,0.9999997615814209,false_positive,0.9999997615814209,,,,,,
asvspoof21_0043929,0,0.9999997615814209,false_positive,0.9999997615814209,,,,,,
asvspoof21_0066685,0,0.9999997615814209,false_positive,0.9999997615814209,,,,,,
asvspoof21_0069313,0,0.9999997615814209,false_positive,0.9999997615814209,,,,,,
asvspoof21_0093589,0,0.9999997615814209,false_positive,0.9999997615814209,,,,,,
asvspoof21_0094954,0,0.9999997615814209,false_positive,0.9999997615814209,,,,,,
asvspoof21_0110737,0,0.9999997615814209,false_positive,0.9999997615814209,,,,,,
asvspoof21_0115763,0,0.9999997615814209,false_positive,0.9999997615814209,,,,,,
asvspoof21_0212353,1,1.8889794546339544e-06,false_negative,0.9999981110205454,,,,,,
asvspoof21_0418751,1,2.59965713667043e-06,false_negative,0.9999974003428633,,,,,,
asvspoof21_0245389,1,2.9742934657406295e-06,false_negative,0.9999970257065343,,,,,,
asvspoof21_0154655,1,4.33422792411875e-06,false_negative,0.9999956657720759,,,,,,
asvspoof21_0383512,1,6.114153620728757e-06,false_negative,0.9999938858463793,,,,,,
asvspoof21_0345475,1,6.487967766588554e-06,false_negative,0.9999935120322334,,,,,,
asvspoof21_0299366,1,8.542328032490332e-06,false_negative,0.9999914576719675,,,,,,
asvspoof21_0112986,1,9.429589226783719e-06,false_negative,0.9999905704107732,,,,,,
asvspoof21_0445253,1,1.201161830977071e-05,false_negative,0.9999879883816902,,,,,,
asvspoof21_0176852,1,1.261317538592266e-05,false_negative,0.9999873868246141,,,,,,
asvspoof21_0382376,1,1.2658726518566255e-05,false_negative,0.9999873412734814,,,,,,
asvspoof21_0303743,1,1.3030991794948932e-05,false_negative,0.999986969008205,,,,,,
asvspoof21_0270002,1,1.4397736777027603e-05,false_negative,0.999985602263223,,,,,,
asvspoof21_0170458,1,1.709611024125479e-05,false_negative,0.9999829038897587,,,,,,
asvspoof21_0233023,1,1.8449840354151092e-05,false_negative,0.9999815501596458,,,,,,
asvspoof21_0308062,1,1.8723048924584873e-05,false_negative,0.9999812769510754,,,,,,
asvspoof21_0406355,1,2.008830961131025e-05,false_negative,0.9999799116903887,,,,,,
asvspoof21_0155624,1,2.1146657672943547e-05,false_negative,0.9999788533423271,,,,,,
asvspoof21_0256642,1,2.124541970260907e-05,false_negative,0.9999787545802974,,,,,,
