utt_id,label,speaker,AASIST_score,error_type,confidence,AASIST-L_score,AASIST3_score,LFCC+LCNN_score,XLS-R+Nes2Net_score,XLS-R+AASIST_score,failed_model_count,model
6022,0,Adam Driver,0.9999856948852539,false_positive,0.9999856948852539,,,,,,,
19570,0,Adam Driver,0.9999631643295288,false_positive,0.9999631643295288,,,,,,,
344,0,Kamala Harris,0.9999624490737915,false_positive,0.9999624490737915,,,,,,,
27077,0,Adam Driver,0.9999606609344482,false_positive,0.9999606609344482,,,,,,,
15591,0,Alan Watts,0.9999299049377441,false_positive,0.9999299049377441,,,,,,,
20642,0,Ayn Rand,0.999923586845398,false_positive,0.999923586845398,,,,,,,
10219,0,Ayn Rand,0.9999135732650757,false_positive,0.9999135732650757,,,,,,,
28015,0,Kamala Harris,0.999911904335022,false_positive,0.999911904335022,,,,,,,
15201,0,Adam Driver,0.9998898506164551,false_positive,0.9998898506164551,,,,,,,
13748,0,Adam Driver,0.9998879432678223,false_positive,0.9998879432678223,,,,,,,
10002,0,Donald Trump,0.9998766183853149,false_positive,0.9998766183853149,,,,,,,
9679,0,Ayn Rand,0.9998493194580078,false_positive,0.9998493194580078,,,,,,,
4988,0,Alan Watts,0.9998394250869751,false_positive,0.9998394250869751,,,,,,,
1446,0,Adam Driver,0.999832034111023,false_positive,0.999832034111023,,,,,,,
2669,0,Ayn Rand,0.999826967716217,false_positive,0.999826967716217,,,,,,,
30513,0,Adam Driver,0.9998195767402649,false_positive,0.9998195767402649,,,,,,,
6964,0,Ayn Rand,0.9998090863227844,false_positive,0.9998090863227844,,,,,,,
20477,0,Alan Watts,0.9998062252998352,false_positive,0.9998062252998352,,,,,,,
7801,0,Dave Chappelle,0.9997777342796326,false_positive,0.9997777342796326,,,,,,,
28006,0,Alan Watts,0.9997569918632507,false_positive,0.9997569918632507,,,,,,,
889,0,Adam Driver,0.9997487664222717,false_positive,0.9997487664222717,,,,,,,
25012,0,Ayn Rand,0.9996916055679321,false_positive,0.9996916055679321,,,,,,,
3862,0,Adam Driver,0.9996861219406128,false_positive,0.9996861219406128,,,,,,,
14288,0,Alan Watts,0.9996651411056519,false_positive,0.9996651411056519,,,,,,,
26711,0,Ayn Rand,0.9996469020843506,false_positive,0.9996469020843506,,,,,,,
24248,1,FDR,1.0038313291715895e-08,false_negative,0.9999999899616867,,,,,,,
10076,1,FDR,1.579775599225286e-08,false_negative,0.999999984202244,,,,,,,
21610,1,FDR,4.229222838603164e-08,false_negative,0.9999999577077716,,,,,,,
28315,1,FDR,5.96836997601713e-08,false_negative,0.9999999403163002,,,,,,,
28733,1,FDR,8.945821150518896e-08,false_negative,0.9999999105417885,,,,,,,
21990,1,FDR,9.847163084941712e-08,false_negative,0.9999999015283692,,,,,,,
20400,1,Ayn Rand,1.0751870149761089e-07,false_negative,0.9999998924812985,,,,,,,
4183,1,Ayn Rand,1.4873637610435253e-07,false_negative,0.9999998512636239,,,,,,,
23050,1,Ayn Rand,1.5411747256166564e-07,false_negative,0.9999998458825274,,,,,,,
23056,1,Christopher Hitchens,1.6877217490218754e-07,false_negative,0.9999998312278251,,,,,,,
8279,1,Ronald Reagan,1.717485531571583e-07,false_negative,0.9999998282514468,,,,,,,
13933,1,FDR,1.822536574991318e-07,false_negative,0.9999998177463425,,,,,,,
23522,1,Malcolm X,1.9375174531433004e-07,false_negative,0.9999998062482547,,,,,,,
26593,1,FDR,2.054978693877274e-07,false_negative,0.9999997945021306,,,,,,,
21734,1,FDR,2.0603475547886774e-07,false_negative,0.9999997939652445,,,,,,,
16277,1,FDR,2.2825834378181753e-07,false_negative,0.9999997717416562,,,,,,,
11943,1,FDR,2.556801348418958e-07,false_negative,0.9999997443198652,,,,,,,
20322,1,FDR,2.770785272332432e-07,false_negative,0.9999997229214728,,,,,,,
13268,1,FDR,2.837563783941732e-07,false_negative,0.9999997162436216,,,,,,,
8119,1,Malcolm X,2.898131015172112e-07,false_negative,0.9999997101868985,,,,,,,
17269,1,Ayn Rand,2.93581308596913e-07,false_negative,0.9999997064186914,,,,,,,
19724,1,FDR,3.0063677058933536e-07,false_negative,0.9999996993632294,,,,,,,
25521,1,FDR,3.016937171196332e-07,false_negative,0.9999996983062829,,,,,,,
31139,1,FDR,3.03372047483208e-07,false_negative,0.9999996966279525,,,,,,,
513,1,FDR,3.0456843091997143e-07,false_negative,0.9999996954315691,,,,,,,
19570,0,Adam Driver,,false_positive,0.999897837638855,0.999897837638855,,,,,,
30513,0,Adam Driver,,false_positive,0.9998213648796082,0.9998213648796082,,,,,,
972,0,Alan Watts,,false_positive,0.9996222257614136,0.9996222257614136,,,,,,
14484,0,Alan Watts,,false_positive,0.9992972612380981,0.9992972612380981,,,,,,
7142,0,Richard Nixon,,false_positive,0.9992846846580505,0.9992846846580505,,,,,,
13668,0,Alan Watts,,false_positive,0.9990038275718689,0.9990038275718689,,,,,,
27925,0,Alec Guinness,,false_positive,0.9989355206489563,0.9989355206489563,,,,,,
6227,0,Alec Guinness,,false_positive,0.9988933205604553,0.9988933205604553,,,,,,
5623,0,Adam Driver,,false_positive,0.9988678693771362,0.9988678693771362,,,,,,
10402,0,Alan Watts,,false_positive,0.9987797141075134,0.9987797141075134,,,,,,
15755,0,Louis C.K.,,false_positive,0.9987657070159912,0.9987657070159912,,,,,,
7744,0,Adam Driver,,false_positive,0.998762845993042,0.998762845993042,,,,,,
11613,0,Alan Watts,,false_positive,0.9986547231674194,0.9986547231674194,,,,,,
